Namespace(D_lr=0.0002, G_lr=0.0002, batch_size=64, crop_size=64, data_path='/home/cvpr19/scottreed/DATA/CUB_EMBEDDING/birds', eval_step=700, image_path='/home/cvpr19/scottreed/DATA/CUB_200_2011/images', image_size=64, log_step=20, loss_type='BCEwL', lr_decay=0.5, lr_decay_after=14000, lr_update_step=14000, main_path='txt2img', max_epoch=600, mode='train', momentum=0.5, num_workers=4, save_step=7000, z_dim=100)
Change CPU mode to GPU mode...
Creating models are success...
Start training...
Elapsed [0:05:13], Iter [2120/83400], Epoch [15/600], Dataset [2240/8855], D/rw_loss [0.7146], D/fr_loss [0.2303], D/d_loss [1.6707], D/rr_loss [0.7258], G/g_loss [2.8618]
Elapsed [0:05:16], Iter [2140/83400], Epoch [15/600], Dataset [3520/8855], D/rw_loss [0.9267], D/fr_loss [0.2713], D/d_loss [1.7795], D/rr_loss [0.5816], G/g_loss [3.4584]
Elapsed [0:05:19], Iter [2160/83400], Epoch [15/600], Dataset [4800/8855], D/rw_loss [0.6117], D/fr_loss [0.1585], D/d_loss [1.6113], D/rr_loss [0.8411], G/g_loss [2.9559]
Elapsed [0:05:22], Iter [2180/83400], Epoch [15/600], Dataset [6080/8855], D/rw_loss [0.6670], D/fr_loss [0.1486], D/d_loss [1.5967], D/rr_loss [0.7811], G/g_loss [2.8507]
Elapsed [0:05:25], Iter [2200/83400], Epoch [15/600], Dataset [7360/8855], D/rw_loss [0.8803], D/fr_loss [0.2400], D/d_loss [1.6881], D/rr_loss [0.5679], G/g_loss [3.2330]
Elapsed [0:05:28], Iter [2220/83400], Epoch [15/600], Dataset [8640/8855], D/rw_loss [0.6421], D/fr_loss [0.1423], D/d_loss [1.6077], D/rr_loss [0.8232], G/g_loss [2.8867]
Elapsed [0:05:31], Iter [2240/83400], Epoch [16/600], Dataset [1024/8855], D/rw_loss [0.4692], D/fr_loss [0.0857], D/d_loss [1.6078], D/rr_loss [1.0529], G/g_loss [2.7531]
Elapsed [0:05:34], Iter [2260/83400], Epoch [16/600], Dataset [2304/8855], D/rw_loss [0.5540], D/fr_loss [0.1516], D/d_loss [1.6073], D/rr_loss [0.9017], G/g_loss [2.6611]
Elapsed [0:05:37], Iter [2280/83400], Epoch [16/600], Dataset [3584/8855], D/rw_loss [0.6460], D/fr_loss [0.1451], D/d_loss [1.6041], D/rr_loss [0.8130], G/g_loss [3.0002]
Elapsed [0:05:39], Iter [2300/83400], Epoch [16/600], Dataset [4864/8855], D/rw_loss [0.8206], D/fr_loss [0.2761], D/d_loss [1.7315], D/rr_loss [0.6349], G/g_loss [3.2237]
Elapsed [0:05:42], Iter [2320/83400], Epoch [16/600], Dataset [6144/8855], D/rw_loss [0.6885], D/fr_loss [0.1398], D/d_loss [1.5832], D/rr_loss [0.7550], G/g_loss [3.2617]
Elapsed [0:05:45], Iter [2340/83400], Epoch [16/600], Dataset [7424/8855], D/rw_loss [0.6207], D/fr_loss [0.1741], D/d_loss [1.6035], D/rr_loss [0.8086], G/g_loss [2.8123]
